Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder,Format
Reyhan + Tymna,http://www.mtgtop8.com/event?e=27377&d=417123&f=EDH,Kilian Boulhaïs,2100,5323,34.95,235,EDH
"Adeliz, The Cinder Wind",http://www.mtgtop8.com/event?e=26630&d=405768&f=EDH,"Yucheng,zhang",547,3931,34.95,132,EDH
Tymna + Reyhan,http://www.mtgtop8.com/event?e=27255&d=414567&f=EDH,Kilian Boulhais,2083,5308,34.95,233,EDH
Tymna + Reyhan,http://www.mtgtop8.com/event?e=27377&d=417121&f=EDH,Jonathan Serra,2319,6460,34.95,197,EDH
"Tajic, Legion's Edge",http://www.mtgtop8.com/event?e=26747&d=407386&f=EDH,Andre Gardes,642,2003,34.95,107,EDH
"Adeliz, The Cinder Wind",http://www.mtgtop8.com/event?e=27297&d=416207&f=EDH,Andy Petit,591,3889,34.95,236,EDH
Adeliz,http://www.mtgtop8.com/event?e=27372&d=417089&f=EDH,"Alexander ""newtrader"" Loskoutoff",609,3967,34.95,254,EDH
"Radha, Heir To Keld",http://www.mtgtop8.com/event?e=27218&d=414139&f=EDH,Louis Roustant,16,67,9.95,1,EDH
Saskia The Unyielding,http://www.mtgtop8.com/event?e=26548&d=404906&f=EDH,Victor Burghi,1006,1869,34.95,191,EDH
Dalakos Master Of Sword,http://www.mtgtop8.com/event?e=27301&d=416223&f=EDH,Kelig Maze,796,4030,34.95,173,EDH
Syr Farren,http://www.mtgtop8.com/event?e=27301&d=416224&f=EDH,Baptiste Viard,473,995,34.95,87,EDH
"Saskia, The Unyielding",http://www.mtgtop8.com/event?e=27297&d=416210&f=EDH,Pierre Savignac,2961,9322,34.95,186,EDH
"Yawgmoth, Thran Physician",http://www.mtgtop8.com/event?e=27402&d=417433&f=EDH,Jakub Lerl,566,1542,34.95,112,EDH
Saskia The Unyielding,http://www.mtgtop8.com/event?e=26318&d=400573&f=EDH,Simon M.,2973,9529,34.95,181,EDH
"Sidisi, Brood Tyrant",http://www.mtgtop8.com/event?e=27333&d=416603&f=EDH,Martial Alexandre,9511,8133,34.95,262,EDH
Gallia Of The Endless Dance,http://www.mtgtop8.com/event?e=26747&d=407393&f=EDH,Claudio Reis-marigo,866,2157,34.95,103,EDH
"Vito, Epine De La Rose Du Crépuscule",http://www.mtgtop8.com/event?e=27356&d=416946&f=EDH,Alain François,281,855,9.95,51,EDH
Gallia (domri En Bouche),http://www.mtgtop8.com/event?e=27089&d=412956&f=EDH,Sébastien Martinez,849,2145,34.95,102,EDH
Judith Gngn Taper,http://www.mtgtop8.com/event?e=27051&d=412623&f=EDH,Alexandre Treupel,1000,2480,34.95,100,EDH
Karlov Of The Ghost Council,http://www.mtgtop8.com/event?e=26793&d=407923&f=EDH,Brian Grouiller,889,2761,34.95,129,EDH
Saffi Eriksdotter,http://www.mtgtop8.com/event?e=26554&d=404940&f=EDH,Laetitia Prigent,1395,2853,34.95,96,EDH
Jirina Koudro,http://www.mtgtop8.com/event?e=27170&d=413776&f=EDH,"Diego ""dmyr"" Rio",1698,5049,34.95,168,EDH
Uro,http://www.mtgtop8.com/event?e=27372&d=417091&f=EDH,Ugo Scaramelli,1175,3821,59.95,317,EDH
Kroxa,http://www.mtgtop8.com/event?e=26927&d=410031&f=EDH,Felix Martin,1187,2641,34.95,235,EDH
"Uro, Titan Of Nature's Wrath",http://www.mtgtop8.com/event?e=27174&d=413799&f=EDH,Teepex,1798,4492,34.95,293,EDH
"Yorvo, Lord Of Garenbrig",http://www.mtgtop8.com/event?e=26460&d=403085&f=EDH,Pan Liangchen,598,982,34.95,98,EDH
"Uro, Titan Of Nature's Wrath",http://www.mtgtop8.com/event?e=27174&d=413800&f=EDH,Hannibal44,890,3487,34.95,250,EDH
Uro,http://www.mtgtop8.com/event?e=27372&d=417086&f=EDH,Baptiste Touboulic,1180,3826,34.95,308,EDH
Syr Faren,http://www.mtgtop8.com/event?e=26347&d=400994&f=EDH,Victor Burghi,438,964,9.95,75,EDH
Jirina Koudro,http://www.mtgtop8.com/event?e=26727&d=407030&f=EDH,"Diego ""dmyr"" Rio",1731,5070,34.95,218,EDH
"Uro, Titan Of Nature's Wrath",http://www.mtgtop8.com/event?e=27402&d=417437&f=EDH,Vojtech Benes,1132,3786,59.95,327,EDH
"Uro, Titan Of Nature's Wrath",http://www.mtgtop8.com/event?e=27145&d=413543&f=EDH,"William ""buisson"" Benaut",994,3598,59.95,319,EDH
"Uro, Titan Of Nature's Wrath",http://www.mtgtop8.com/event?e=27145&d=413547&f=EDH,Léo Carbonell,1169,3785,34.95,304,EDH
"Uro, Titan Of Nature's Wrath",http://www.mtgtop8.com/event?e=27177&d=413825&f=EDH,Petr Klima,1293,4033,59.95,321,EDH
Jirina Kudro,http://www.mtgtop8.com/event?e=26331&d=400710&f=EDH,Diego Rio,1782,5059,34.95,185,EDH
"Uro, Titan Of Nature's Wrath",http://www.mtgtop8.com/event?e=27145&d=413548&f=EDH,"Damien ""eventwin"" Jantzen",1277,4163,59.95,333,EDH
U-ro Genesis,http://www.mtgtop8.com/event?e=27297&d=416208&f=EDH,"Anthony ""tototake"" Ruer",983,3670,34.95,179,EDH
Uro Genesis Storm,http://www.mtgtop8.com/event?e=27052&d=412624&f=EDH,Romain Chassagne,1004,3544,34.95,249,EDH
Uro,http://www.mtgtop8.com/event?e=27089&d=412961&f=EDH,Adrien Houssard,1046,3661,59.95,319,EDH
Genesis Uro,http://www.mtgtop8.com/event?e=27025&d=411771&f=EDH,Ji Haoyuan,1258,3791,34.95,255,EDH
