Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder,Format
Red Deck Wins,http://www.mtgtop8.com/event?e=27248&d=414473&f=PAU,Lucas_tostes,36,372,9.95,9,PAU
Red Deck Wins,http://www.mtgtop8.com/event?e=27249&d=414481&f=PAU,Fagner,37,411,9.95,27,PAU
Elfos,http://www.mtgtop8.com/event?e=26952&d=410864&f=PAU,Diogo Meurer (moa),391,116,9.95,34,PAU
Elfos,http://www.mtgtop8.com/event?e=26952&d=410859&f=PAU,William Kock (elfo),414,130,9.95,41,PAU
Mono-black Control,http://www.mtgtop8.com/event?e=27206&d=414063&f=PAU,Catacuio,46,73,9.95,41,PAU
Elves,http://www.mtgtop8.com/event?e=27357&d=416967&f=PAU,c_is_for_cookie,390,114,9.95,40,PAU
Elves,http://www.mtgtop8.com/event?e=27369&d=417057&f=PAU,N1ckles,393,111,9.95,34,PAU
Elves,http://www.mtgtop8.com/event?e=27357&d=416953&f=PAU,PauloCabral_Br,407,313,9.95,37,PAU
Elves,http://www.mtgtop8.com/event?e=27144&d=413536&f=PAU,Walker735,394,104,9.95,30,PAU
Slivers,http://www.mtgtop8.com/event?e=27442&d=417962&f=PAU,Dario84,58,64,9.95,26,PAU
Slivers,http://www.mtgtop8.com/event?e=27401&d=417428&f=PAU,Mizutani Genta,49,62,9.95,24,PAU
Elves,http://www.mtgtop8.com/event?e=27167&d=413757&f=PAU,c_is_for_cookie,390,113,9.95,40,PAU
Mono Blue Aggro,http://www.mtgtop8.com/event?e=27450&d=418045&f=PAU,hateatos,107,610,9.95,32,PAU
Slivers,http://www.mtgtop8.com/event?e=26688&d=406658&f=PAU,Diego_Brando,54,62,9.95,16,PAU
Aura Hexproof,http://www.mtgtop8.com/event?e=27096&d=413061&f=PAU,albana,67,69,9.95,26,PAU
Slivers,http://www.mtgtop8.com/event?e=27357&d=416954&f=PAU,Lican009,46,56,9.95,25,PAU
Slivers,http://www.mtgtop8.com/event?e=26918&d=409973&f=PAU,Isapuru,51,60,9.95,23,PAU
Slivers,http://www.mtgtop8.com/event?e=27096&d=413047&f=PAU,HunterBR,59,61,9.95,21,PAU
Aura Hexproof,http://www.mtgtop8.com/event?e=27167&d=413747&f=PAU,Clavere,77,76,9.95,29,PAU
Aura Hexproof,http://www.mtgtop8.com/event?e=27357&d=416958&f=PAU,BatraDS,73,73,9.95,27,PAU
Slivers,http://www.mtgtop8.com/event?e=27167&d=413740&f=PAU,HunterBR,59,61,9.95,22,PAU
Mono Blue Delver,http://www.mtgtop8.com/event?e=27144&d=413533&f=PAU,rEPTILIUM_,105,616,9.95,35,PAU
Ur Skred,http://www.mtgtop8.com/event?e=27050&d=412613&f=PAU,Adriano Oliveira,96,746,9.95,62,PAU
Mono Blue Delver,http://www.mtgtop8.com/event?e=27357&d=416968&f=PAU,rEPTILIUM_,103,614,9.95,33,PAU
Grixis Delver,http://www.mtgtop8.com/event?e=27442&d=417961&f=PAU,Delmoona,70,858,9.95,25,PAU
Jeskai Trinket,http://www.mtgtop8.com/event?e=27206&d=414064&f=PAU,Obzen,34,258,9.95,44,PAU
Gruul Aggro,http://www.mtgtop8.com/event?e=26688&d=406656&f=PAU,Tinkmaster,40,334,9.95,30,PAU
Gruul Aggro,http://www.mtgtop8.com/event?e=26918&d=409974&f=PAU,Oliverjuqs,35,396,9.95,20,PAU
Dimir Faeries,http://www.mtgtop8.com/event?e=27441&d=417945&f=PAU,cicciogire,107,605,9.95,90,PAU
Gruul Aggro,http://www.mtgtop8.com/event?e=27248&d=414476&f=PAU,Pasteurella,38,366,9.95,14,PAU
Dimir Faeries,http://www.mtgtop8.com/event?e=27441&d=417937&f=PAU,rage_hs,90,589,9.95,82,PAU
Dimir Midrange,http://www.mtgtop8.com/event?e=27450&d=418049&f=PAU,chocotone,55,464,9.95,43,PAU
