Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder,Format
Simic Flash,http://www.mtgtop8.com/event?e=27082&d=412909&f=ST,Katou Ryuu,205,227,9.95,96,ST
Simic Elemental Aggro,http://www.mtgtop8.com/event?e=27055&d=412653&f=ST,fpawlusz,419,473,34.95,152,ST
Simic Aggro,http://www.mtgtop8.com/event?e=27006&d=411585&f=ST,Christopher Caravello,499,518,59.95,300,ST
Simic Flash,http://www.mtgtop8.com/event?e=26981&d=411294&f=ST,Martin Stübe,289,298,34.95,136,ST
UR Aggro,http://www.mtgtop8.com/event?e=26930&d=410178&f=ST,Gen_kie,149,164,34.95,131,ST
6 Simic Flash,http://www.mtgtop8.com/event?e=26930&d=410180&f=ST,Yuma Yamamoto,358,377,34.95,175,ST
Simic Flash Aggro,http://www.mtgtop8.com/event?e=26827&d=408482&f=ST,Julio Potes,361,357,34.95,229,ST
Simic Aggro,http://www.mtgtop8.com/event?e=26855&d=409309&f=ST,Takeno Ryou,568,626,59.95,274,ST
Simic Flash Aggro,http://www.mtgtop8.com/event?e=26761&d=407538&f=ST,Noam Zimet,364,355,34.95,234,ST
Simic Flash,http://www.mtgtop8.com/event?e=26906&d=409820&f=ST,Bavan Schimper,238,255,34.95,142,ST
Weenie White,http://www.mtgtop8.com/event?e=27134&d=413433&f=ST,Richard Jarosz,166,172,9.95,40,ST
Weenie White,http://www.mtgtop8.com/event?e=26777&d=407706&f=ST,James Rozelle,141,149,9.95,49,ST
Boros Cycling Aggro,http://www.mtgtop8.com/event?e=27399&d=417405&f=ST,Bruno Mendes,42,48,9.95,22,ST
Simic Aggro,http://www.mtgtop8.com/event?e=26789&d=407890&f=ST,Eric Froehlich,427,499,34.95,138,ST
Weenie White,http://www.mtgtop8.com/event?e=26741&d=407333&f=ST,Ben Todd,31,44,9.95,5,ST
Weenie White,http://www.mtgtop8.com/event?e=26872&d=409489&f=ST,David Carrera,141,152,9.95,43,ST
Weenie White,http://www.mtgtop8.com/event?e=26856&d=409313&f=ST,David Carrera,51,67,9.95,9,ST
Boros Cycling Aggro,http://www.mtgtop8.com/event?e=26968&d=411137&f=ST,Machida Takahiro,14,20,9.95,1,ST
Weenie White,http://www.mtgtop8.com/event?e=26764&d=407582&f=ST,James Rozelle,141,149,9.95,49,ST
Weenie White,http://www.mtgtop8.com/event?e=27137&d=413470&f=ST,Christopher Caravello,78,91,9.95,25,ST
Boros Cycling Aggro,http://www.mtgtop8.com/event?e=26836&d=408572&f=ST,Claudio Lupi,72,78,9.95,14,ST
Boros Cycling Aggro,http://www.mtgtop8.com/event?e=26921&d=410000&f=ST,Chris Boehm,87,89,9.95,23,ST
Mardu Kight Aggro,http://www.mtgtop8.com/event?e=27047&d=412575&f=ST,Maycon Guimaraes,204,213,9.95,40,ST
Simic Aggro,http://www.mtgtop8.com/event?e=26804&d=408074&f=ST,André Santos,427,494,34.95,138,ST
Simic Flash Aggro,http://www.mtgtop8.com/event?e=26784&d=407812&f=ST,Martin Stübe,367,366,34.95,223,ST
Mardu Knight Aggro,http://www.mtgtop8.com/event?e=27116&d=413276&f=ST,Humberto Casagrande,203,212,9.95,39,ST
Mardu Knight Aggro,http://www.mtgtop8.com/event?e=27367&d=417042&f=ST,Matsunaga Takahiro,270,252,9.95,66,ST
Boros Cycling Aggro,http://www.mtgtop8.com/event?e=26732&d=407235&f=ST,Wendy Piringer,94,95,9.95,7,ST
Weenie White,http://www.mtgtop8.com/event?e=26822&d=408411&f=ST,Jonathan Perez,51,66,9.95,9,ST
Boros Cycling Aggro,http://www.mtgtop8.com/event?e=27381&d=417157&f=ST,Murilo Marquez De Oliveira Filho,62,39,9.95,25,ST
Boros Cycling Aggro,http://www.mtgtop8.com/event?e=27329&d=416556&f=ST,Hampuse1,84,89,9.95,16,ST
Boros Cycling Aggro,http://www.mtgtop8.com/event?e=27055&d=412654&f=ST,kulszewe,84,89,9.95,16,ST
Boros Cycling Aggro,http://www.mtgtop8.com/event?e=26950&d=410844&f=ST,Oliver Frith,96,100,9.95,27,ST
WW All That Glitters,http://www.mtgtop8.com/event?e=26916&d=409951&f=ST,Nelson Rodrigues,30,40,9.95,15,ST
6 Boros Aggro,http://www.mtgtop8.com/event?e=27390&d=417273&f=ST,Meatballs12345,180,103,34.95,80,ST
