Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder
6 Gruul Aggro,http://www.mtgtop8.com/event?e=27390&d=417278&f=ST,Beesuitpoogie,438,254,34.95,142
Gruul Aggro,http://www.mtgtop8.com/event?e=27408&d=417479&f=ST,Gino Bautista,409,269,59.95,217
6 Gruul Aggro,http://www.mtgtop8.com/event?e=27390&d=417276&f=ST,Brandon Lee,241,251,34.95,126
Gruul Adventure Aggro,http://www.mtgtop8.com/event?e=27048&d=412588&f=ST,Paulo Chiozzani,240,250,34.95,92
Gruul Aggro,http://www.mtgtop8.com/event?e=27381&d=417156&f=ST,Humberto Casagrande,557,455,34.95,181
UR Aggro,http://www.mtgtop8.com/event?e=27324&d=416496&f=ST,Joeri Claes,61,98,9.95,24
Gruul Aggro,http://www.mtgtop8.com/event?e=27303&d=416235&f=ST,Ignacio Valenzuela,250,269,34.95,99
Gruul Aggro,http://www.mtgtop8.com/event?e=27346&d=416843&f=ST,Carlos Baeza,276,293,34.95,122
Gruul Aggro,http://www.mtgtop8.com/event?e=27386&d=417209&f=ST,Mamada Chikashi,225,225,9.95,88
Gruul Aggro,http://www.mtgtop8.com/event?e=26972&d=411188&f=ST,Mamada Chikashi,225,223,9.95,88
Gruul Aggro,http://www.mtgtop8.com/event?e=27168&d=413764&f=ST,Thanh Van,33,45,9.95,10
Gruul Adventure Aggro,http://www.mtgtop8.com/event?e=26850&d=409233&f=ST,Andrew Macarico,252,257,9.95,79
Gruul Adventure Aggro,http://www.mtgtop8.com/event?e=27036&d=411891&f=ST,Suzuki Makoto,313,310,34.95,122
UR Aggro,http://www.mtgtop8.com/event?e=27122&d=413316&f=ST,Oono Eisuke,167,185,34.95,151
UR Aggro,http://www.mtgtop8.com/event?e=27004&d=411552&f=ST,Gen_kie,145,160,34.95,125
UR Aggro,http://www.mtgtop8.com/event?e=26988&d=411393&f=ST,Thijs Weytens,35,66,9.95,21
UR Aggro,http://www.mtgtop8.com/event?e=26880&d=409561&f=ST,Cameron Sullivan,120,143,9.95,66
UR Aggro,http://www.mtgtop8.com/event?e=26877&d=409532&f=ST,Ward Beutels,33,59,9.95,5
UR Aggro,http://www.mtgtop8.com/event?e=27067&d=412714&f=ST,Elijah Woodbury,130,156,34.95,104
Gruul Aggro,http://www.mtgtop8.com/event?e=27082&d=412906&f=ST,Suzuki Makoto,268,263,34.95,116
UR Aggro,http://www.mtgtop8.com/event?e=26834&d=408560&f=ST,Leomar Rebollido,26,51,9.95,2
UR Aggro,http://www.mtgtop8.com/event?e=27006&d=411586&f=ST,Martinlichking,130,156,34.95,104
UR Aggro,http://www.mtgtop8.com/event?e=27055&d=412655&f=ST,rastaf,148,169,34.95,125
UR Aggro,http://www.mtgtop8.com/event?e=26917&d=409966&f=ST,Matsuo Shintarou,133,160,34.95,108
UR Aggro,http://www.mtgtop8.com/event?e=26816&d=408323&f=ST,Brendon Hansard,207,223,34.95,165
UR Aggro,http://www.mtgtop8.com/event?e=26868&d=409444&f=ST,Martin Stübe,154,172,34.95,138
UR Aggro,http://www.mtgtop8.com/event?e=27082&d=412904&f=ST,Oinuma Yutaka,152,171,34.95,128
UR Aggro,http://www.mtgtop8.com/event?e=27082&d=412907&f=ST,Kobayashi Hironori,130,156,34.95,104
UR Aggro,http://www.mtgtop8.com/event?e=26911&d=409877&f=ST,Michael Bonde,120,143,9.95,66
UR Aggro,http://www.mtgtop8.com/event?e=26950&d=410843&f=ST,Anthony Arevalo,130,156,34.95,104
UR Aggro,http://www.mtgtop8.com/event?e=26846&d=409171&f=ST,Cameron Sullivan,105,132,9.95,63
UR Aggro,http://www.mtgtop8.com/event?e=26839&d=408753&f=ST,Shota Takao,153,170,34.95,138
UR Aggro,http://www.mtgtop8.com/event?e=26930&d=410178&f=ST,Gen_kie,145,160,34.95,130
Simic Aggro,http://www.mtgtop8.com/event?e=27295&d=416182&f=ST,Igor,73,105,9.95,53
Simic Flash Aggro,http://www.mtgtop8.com/event?e=26827&d=408482&f=ST,Julio Potes,376,357,34.95,236
Simic Aggro,http://www.mtgtop8.com/event?e=27317&d=416416&f=ST,Antonio Trujillo,161,176,34.95,91
Simic Flash,http://www.mtgtop8.com/event?e=26923&d=410017&f=ST,Luis Gustavo Gomes Pereira,402,424,59.95,290
Weenie White,http://www.mtgtop8.com/event?e=26872&d=409489&f=ST,David Carrera,142,152,9.95,43
Weenie White,http://www.mtgtop8.com/event?e=26777&d=407706&f=ST,James Rozelle,142,150,9.95,49
Weenie White,http://www.mtgtop8.com/event?e=27134&d=413433&f=ST,Richard Jarosz,165,172,9.95,40
Weenie White,http://www.mtgtop8.com/event?e=27137&d=413470&f=ST,Christopher Caravello,79,92,9.95,24
Simic Flash Aggro,http://www.mtgtop8.com/event?e=26784&d=407812&f=ST,Martin Stübe,364,366,34.95,227
Simic Flash Aggro,http://www.mtgtop8.com/event?e=26761&d=407538&f=ST,Noam Zimet,378,355,34.95,237
Simic Aggro,http://www.mtgtop8.com/event?e=27194&d=413961&f=ST,Christopher Caravello,498,508,59.95,303
Simic Aggro,http://www.mtgtop8.com/event?e=26804&d=408074&f=ST,André Santos,449,494,34.95,137
Simic Flash,http://www.mtgtop8.com/event?e=26911&d=409878&f=ST,Martin Stübe,320,307,34.95,160
Simic Aggro,http://www.mtgtop8.com/event?e=26789&d=407890&f=ST,Eric Froehlich,449,493,34.95,137
Weenie White,http://www.mtgtop8.com/event?e=26856&d=409313&f=ST,David Carrera,52,67,9.95,9
Simic Flash,http://www.mtgtop8.com/event?e=27082&d=412909&f=ST,Katou Ryuu,205,227,9.95,94
Simic Flash,http://www.mtgtop8.com/event?e=26906&d=409820&f=ST,Bavan Schimper,233,255,34.95,145
Weenie White,http://www.mtgtop8.com/event?e=26764&d=407582&f=ST,James Rozelle,142,150,9.95,49
Weenie White,http://www.mtgtop8.com/event?e=26741&d=407333&f=ST,Ben Todd,32,44,9.95,5
Simic Flash,http://www.mtgtop8.com/event?e=26981&d=411294&f=ST,Martin Stübe,302,294,34.95,136
Simic Flash,http://www.mtgtop8.com/event?e=26947&d=410321&f=ST,Yamaguchi Kazuhiro,109,119,9.95,90
Simic Elemental Aggro,http://www.mtgtop8.com/event?e=27055&d=412653&f=ST,fpawlusz,423,473,34.95,158
Simic Aggro,http://www.mtgtop8.com/event?e=26855&d=409309&f=ST,Takeno Ryou,572,626,59.95,282
WW All That Glitters,http://www.mtgtop8.com/event?e=26916&d=409951&f=ST,Nelson Rodrigues,30,40,9.95,15
Simic Aggro,http://www.mtgtop8.com/event?e=27006&d=411585&f=ST,Christopher Caravello,500,515,59.95,304
WW All That Glitters,http://www.mtgtop8.com/event?e=27034&d=411883&f=ST,Nelson Rodrigues,30,40,9.95,15
Weenie White,http://www.mtgtop8.com/event?e=26822&d=408411&f=ST,Jonathan Perez,52,66,9.95,8
6 Simic Flash,http://www.mtgtop8.com/event?e=26930&d=410180&f=ST,Yuma Yamamoto,358,374,34.95,180
Weenie White,http://www.mtgtop8.com/event?e=26664&d=406442&f=ST,PTarts2win,51,64,9.95,8
Boros Cycling Aggro,http://www.mtgtop8.com/event?e=26968&d=411137&f=ST,Machida Takahiro,14,20,9.95,1
6 Boros Aggro,http://www.mtgtop8.com/event?e=27390&d=417273&f=ST,Meatballs12345,227,106,34.95,79
Boros Cycling Aggro,http://www.mtgtop8.com/event?e=27399&d=417405&f=ST,Bruno Mendes,54,48,9.95,22
Boros Cycling Aggro,http://www.mtgtop8.com/event?e=26921&d=410000&f=ST,Chris Boehm,87,88,9.95,23
