Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder
Ensoul Artifacts,http://www.mtgtop8.com/event?e=27226&d=414258&f=PI,Miura Ryuuji,249,256,9.95,71
Ur Ensoul,http://www.mtgtop8.com/event?e=27186&d=413888&f=PI,Sebastian Kulpok,111,140,9.95,33
UW Ensoul,http://www.mtgtop8.com/event?e=27175&d=413817&f=PI,torers,282,287,9.95,76
Uw Ensoul,http://www.mtgtop8.com/event?e=27153&d=413638&f=PI,Hamuda,293,298,9.95,82
UR Ensoul Artifact,http://www.mtgtop8.com/event?e=27054&d=412630&f=PI,davidbrito,195,230,9.95,49
All That Glitters Aggro,http://www.mtgtop8.com/event?e=27129&d=413370&f=PI,Baku_91,282,287,9.95,76
UR Ensoul,http://www.mtgtop8.com/event?e=27195&d=413969&f=PI,Okabe Kiyotaka,196,231,9.95,49
UW Ensoul,http://www.mtgtop8.com/event?e=27158&d=413684&f=PI,Manabe Riki,255,266,9.95,78
Sram Aggro,http://www.mtgtop8.com/event?e=27176&d=413821&f=PI,Antoine Delalandre,171,211,9.95,63
UR Ensoul Artifact,http://www.mtgtop8.com/event?e=27078&d=412854&f=PI,Ishikawa Atsuhiro,194,217,9.95,82
UR Ensoul,http://www.mtgtop8.com/event?e=26845&d=409144&f=PI,vihespanhol,280,288,9.95,76
UR Ensoul Artifact,http://www.mtgtop8.com/event?e=26862&d=409378&f=PI,Ishikawa Atsuhiro,168,199,9.95,42
Orzhov Sram,http://www.mtgtop8.com/event?e=27446&d=417992&f=PI,Rafadoomed,94,116,9.95,13
UR Ensoul Artifact,http://www.mtgtop8.com/event?e=26862&d=409373&f=PI,Koshio Kenta,131,156,9.95,47
UR Ensoul Artifact,http://www.mtgtop8.com/event?e=26745&d=407374&f=PI,Kanada Taira,180,215,9.95,42
Orzhov Sram,http://www.mtgtop8.com/event?e=27241&d=414402&f=PI,trader08111,202,240,9.95,70
Rakdos Aggro,http://www.mtgtop8.com/event?e=27175&d=413820&f=PI,gazmon48,224,265,34.95,167
Orzhov Sram,http://www.mtgtop8.com/event?e=27044&d=412071&f=PI,MJ_23,202,240,9.95,70
Orzhov Sram,http://www.mtgtop8.com/event?e=27094&d=413024&f=PI,Koga Ichirou,214,250,9.95,69
Orzhov Sram,http://www.mtgtop8.com/event?e=26828&d=408499&f=PI,Ooshima Shinpei,201,235,9.95,70
Rakdos Aggro,http://www.mtgtop8.com/event?e=27316&d=416404&f=PI,Takeuchi Ryouta,363,410,34.95,200
Orzhov Sram,http://www.mtgtop8.com/event?e=26854&d=409294&f=PI,Sano Gennma,198,231,9.95,69
Orzhov Sram,http://www.mtgtop8.com/event?e=26975&d=411235&f=PI,Sano Genma,200,229,9.95,70
Orzhov Sram,http://www.mtgtop8.com/event?e=26740&d=407316&f=PI,Routine,198,227,9.95,70
Orzhov Sram,http://www.mtgtop8.com/event?e=26790&d=407910&f=PI,ModiSapiras,201,235,9.95,70
Orzhov Sram,http://www.mtgtop8.com/event?e=26701&d=406805&f=PI,ModiSapiras,200,230,9.95,70
Rakdos Aggro,http://www.mtgtop8.com/event?e=27179&d=413837&f=PI,rastaf,287,333,34.95,174
Rakdos Aggro,http://www.mtgtop8.com/event?e=27241&d=414406&f=PI,Wames13,345,397,34.95,205
Rakdos Aggro,http://www.mtgtop8.com/event?e=27241&d=414405&f=PI,MJ_23,329,376,34.95,189
Rakdos Aggro,http://www.mtgtop8.com/event?e=27183&d=413864&f=PI,_Falcon_,323,371,34.95,188
Rakdos Aggro,http://www.mtgtop8.com/event?e=27179&d=413839&f=PI,trader08111,287,333,34.95,174
Rakdos Midrange,http://www.mtgtop8.com/event?e=26736&d=407281&f=PI,Caleb Howe,452,510,34.95,255
Golgari Aggro,http://www.mtgtop8.com/event?e=27440&d=417935&f=PI,Peppe,274,350,9.95,69
Collected Golgari Aggro,http://www.mtgtop8.com/event?e=27422&d=417728&f=PI,Takeno Ryou,372,474,9.95,100
Rakdos Aggro,http://www.mtgtop8.com/event?e=27129&d=413371&f=PI,juzam_gin,259,300,34.95,111
Rakdos,http://www.mtgtop8.com/event?e=27153&d=413643&f=PI,Hmr1henrique,272,310,34.95,159
Rakdos Aggro,http://www.mtgtop8.com/event?e=27054&d=412631&f=PI,RhV,292,337,34.95,174
Golgari Aggro,http://www.mtgtop8.com/event?e=27078&d=412860&f=PI,Katou Yuuta,335,415,9.95,98
Golgari Citadel,http://www.mtgtop8.com/event?e=27129&d=413372&f=PI,pinkbom69,329,433,9.95,98
Golgari Aggro,http://www.mtgtop8.com/event?e=26841&d=409112&f=PI,Chefen,281,364,9.95,62
Collected Golgari Aggro,http://www.mtgtop8.com/event?e=27195&d=413967&f=PI,Hinouchi Keita,404,510,9.95,100
Golgari Aggro,http://www.mtgtop8.com/event?e=26845&d=409147&f=PI,nano_g,315,418,9.95,67
Golgari Aggro,http://www.mtgtop8.com/event?e=26740&d=407318&f=PI,rapidluis08,378,481,34.95,110
Golgari Aggro,http://www.mtgtop8.com/event?e=26745&d=407371&f=PI,Noguchi Hiroshi,276,350,9.95,57
Golgari Aggro,http://www.mtgtop8.com/event?e=26875&d=409508&f=PI,Satou Keisuke,296,404,9.95,71
Monow Lurrus,http://www.mtgtop8.com/event?e=27446&d=417993&f=PI,Phil_izzet,47,47,9.95,23
Weenie White,http://www.mtgtop8.com/event?e=27138&d=413464&f=PI,Miyamoto Keisuke,345,367,9.95,36
Monow Lurrus,http://www.mtgtop8.com/event?e=27153&d=413639&f=PI,Phil_izzet,48,47,9.95,23
Weenie White,http://www.mtgtop8.com/event?e=26740&d=407312&f=PI,ElYallo,298,308,9.95,57
UR Aggro,http://www.mtgtop8.com/event?e=27094&d=413025&f=PI,Kawasaki Kyouhei,190,229,34.95,123
Boros Aggro,http://www.mtgtop8.com/event?e=27054&d=412629&f=PI,iBroadband,176,179,9.95,88
Ur Aggro,http://www.mtgtop8.com/event?e=27153&d=413645&f=PI,Diogoleal,159,195,9.95,67
UR Aggro,http://www.mtgtop8.com/event?e=27054&d=412632&f=PI,gottelicious,216,233,34.95,125
Mono Blue Aggro,http://www.mtgtop8.com/event?e=27176&d=413822&f=PI,Geoffrey Caillet,68,89,9.95,28
Weenie White,http://www.mtgtop8.com/event?e=26651&d=406065&f=PI,ElYallo,298,309,9.95,57
Boros Aggro,http://www.mtgtop8.com/event?e=26905&d=409807&f=PI,_Caverna_,204,205,9.95,108
Devotion to White,http://www.mtgtop8.com/event?e=27078&d=412858&f=PI,Ishikawa Shou,250,245,9.95,48
Boros Aggro,http://www.mtgtop8.com/event?e=26701&d=406801&f=PI,guiyote,192,192,34.95,138
Gruul Aggro,http://www.mtgtop8.com/event?e=27043&d=412068&f=PI,Oatesy,344,384,34.95,133
Gruul Aggro,http://www.mtgtop8.com/event?e=26937&d=410240&f=PI,Osuga Hiroaki,234,302,34.95,106
Boros Aggro,http://www.mtgtop8.com/event?e=26905&d=409810&f=PI,iBroadband,166,167,9.95,90
Gruul Aggro,http://www.mtgtop8.com/event?e=26873&d=409491&f=PI,Arai Hiromasa,320,366,34.95,97
Izzet Arclight,http://www.mtgtop8.com/event?e=27139&d=413475&f=PI,Bise Shouta,196,277,9.95,95
Izzet Arclight,http://www.mtgtop8.com/event?e=27316&d=416405&f=PI,Matsumoto Tatsunori,179,262,9.95,83
Mono Blue Aggro,http://www.mtgtop8.com/event?e=27195&d=413968&f=PI,Onozuka Yuushi,131,136,34.95,108
UR Aggro,http://www.mtgtop8.com/event?e=27010&d=411640&f=PI,Fabrice_K,178,209,34.95,114
Dredge,http://www.mtgtop8.com/event?e=27201&d=414022&f=PI,Ricky Linn,270,312,9.95,78
Simic Aggro,http://www.mtgtop8.com/event?e=26845&d=409142&f=PI,Praxifi,474,519,34.95,224
Other,http://www.mtgtop8.com/event?e=27342&d=416787&f=PI,Ichikawa Takayoshi,329,360,9.95,76
Gruul Aggro,http://www.mtgtop8.com/event?e=27259&d=414603&f=PI,gimma,232,294,34.95,109
Rally the Ancestors,http://www.mtgtop8.com/event?e=27440&d=417933&f=PI,Gasotamu,199,213,9.95,29
Other,http://www.mtgtop8.com/event?e=27342&d=416793&f=PI,Kawasaki Kentarou,311,418,34.95,122
Jund Citadel,http://www.mtgtop8.com/event?e=27113&d=413240&f=PI,Aka Shunnsuke,436,531,34.95,122
Selesnya Tokens,http://www.mtgtop8.com/event?e=27446&d=417994&f=PI,Christaren,312,348,9.95,35
Gw Cats,http://www.mtgtop8.com/event?e=27153&d=413644&f=PI,Anacariane,266,290,9.95,40
Orzhov Midrange,http://www.mtgtop8.com/event?e=27158&d=413685&f=PI,Yamada Nobuhiro,323,353,34.95,196
Humans,http://www.mtgtop8.com/event?e=27078&d=412857&f=PI,Kitou Kazuumi,446,460,34.95,151
Humans,http://www.mtgtop8.com/event?e=26905&d=409812&f=PI,iHuman,367,406,34.95,158
Jund Sacrifice,http://www.mtgtop8.com/event?e=26905&d=409805&f=PI,mattn,329,434,9.95,98
Dredge,http://www.mtgtop8.com/event?e=26875&d=409505&f=PI,Nakashima Shunichi,489,542,34.95,217
Selesnya Heliod,http://www.mtgtop8.com/event?e=26651&d=406066&f=PI,howa,390,446,34.95,115
Selesnya Enchantress,http://www.mtgtop8.com/event?e=26715&d=406964&f=PI,David Cremieux,149,159,9.95,16
Dimir Midrange,http://www.mtgtop8.com/event?e=26905&d=409811&f=PI,MTGxMike,286,347,9.95,89
Humans,http://www.mtgtop8.com/event?e=26790&d=407892&f=PI,Newspaper,331,332,34.95,147
Selesnya Hardened Scales,http://www.mtgtop8.com/event?e=26745&d=407376&f=PI,Hayashi Tatsuya,379,387,9.95,84
Niv-Mizzet Reborn,http://www.mtgtop8.com/event?e=27164&d=413716&f=PI,Nakamura Kouki,716,782,59.95,414
Niv-Mizzet Reborn,http://www.mtgtop8.com/event?e=27241&d=414411&f=PI,claudioh,537,564,34.95,332
Niv-Mizzet Reborn,http://www.mtgtop8.com/event?e=27179&d=413840&f=PI,Tw33Ty,568,616,34.95,354
Niv-Mizzet Reborn,http://www.mtgtop8.com/event?e=27139&d=413476&f=PI,Matsumoto Tomohiro,742,778,59.95,431
Niv-Mizzet Reborn,http://www.mtgtop8.com/event?e=27214&d=414122&f=PI,Yokotani Junpei,756,816,59.95,427
Niv-Mizzet Reborn,http://www.mtgtop8.com/event?e=27139&d=413474&f=PI,Yamada Yuusuke,585,615,34.95,350
Niv-Mizzet Reborn,http://www.mtgtop8.com/event?e=27175&d=413816&f=PI,Tw33Ty,568,621,34.95,354
Niv-Mizzet Reborn,http://www.mtgtop8.com/event?e=27226&d=414260&f=PI,Hayashi Tatsuya,761,794,59.95,434
Niv-Mizzet Reborn,http://www.mtgtop8.com/event?e=27226&d=414257&f=PI,Yokotani Junpei,591,628,59.95,362
Niv-Mizzet Reborn,http://www.mtgtop8.com/event?e=27158&d=413675&f=PI,Horiuchi Makoto,665,747,59.95,406
Niv-Mizzet Reborn,http://www.mtgtop8.com/event?e=27094&d=413022&f=PI,Yoshida Kouki,720,773,59.95,414
Niv-Mizzet Reborn,http://www.mtgtop8.com/event?e=27043&d=412065&f=PI,karatedom,585,616,34.95,350
Temur Reclamation,http://www.mtgtop8.com/event?e=27375&d=417112&f=PI,-=Alfa=-,519,547,34.95,247
Niv-Mizzet Reborn,http://www.mtgtop8.com/event?e=26813&d=408290&f=PI,Takeuchi Ryouta,567,627,34.95,353
Niv-Mizzet Reborn,http://www.mtgtop8.com/event?e=26893&d=409671&f=PI,bobthedog,703,758,59.95,401
Niv-Mizzet Reborn,http://www.mtgtop8.com/event?e=27007&d=411613&f=PI,Toastxp,730,770,59.95,432
Temur Reclamation,http://www.mtgtop8.com/event?e=27440&d=417931&f=PI,Ramzamela7,519,546,34.95,246
Niv-Mizzet Reborn,http://www.mtgtop8.com/event?e=26934&d=410210&f=PI,lsmguys,724,781,59.95,432
Niv-Mizzet Reborn,http://www.mtgtop8.com/event?e=26937&d=410238&f=PI,Hayashi Tatsuya,794,835,59.95,444
Niv-Mizzet Reborn,http://www.mtgtop8.com/event?e=26875&d=409506&f=PI,Kobayashi Ryouhei,649,693,59.95,364
Niv-Mizzet Reborn,http://www.mtgtop8.com/event?e=26975&d=411240&f=PI,Yoshimura Tasuku,534,592,34.95,349
Temur Reclamation,http://www.mtgtop8.com/event?e=27378&d=417129&f=PI,JakeHelms,563,587,34.95,272
Niv-Mizzet Reborn,http://www.mtgtop8.com/event?e=26975&d=411231&f=PI,Matsumoto Tomohiro,647,692,59.95,362
Temur Reclamation,http://www.mtgtop8.com/event?e=27342&d=416789&f=PI,Mishina Ryouta,517,547,34.95,283
Temur Reclamation,http://www.mtgtop8.com/event?e=27228&d=414269&f=PI,Handou Shinnosuke,517,537,34.95,298
Temur Reclamation,http://www.mtgtop8.com/event?e=27228&d=414272&f=PI,Uchiyama Yasuyuki,505,524,34.95,304
Temur Reclamation,http://www.mtgtop8.com/event?e=27259&d=414604&f=PI,wkmidori,515,540,34.95,284
Temur Reclamation,http://www.mtgtop8.com/event?e=27241&d=414401&f=PI,Graciasportanto,561,585,34.95,272
Temur Reclamation,http://www.mtgtop8.com/event?e=27112&d=413241&f=PI,fingers1991,568,595,34.95,272
Temur Reclamation,http://www.mtgtop8.com/event?e=27179&d=413836&f=PI,larkblue,563,592,34.95,262
Temur Reclamation,http://www.mtgtop8.com/event?e=27164&d=413715&f=PI,Mishina Ryouta,472,506,34.95,222
Temur Reclamation,http://www.mtgtop8.com/event?e=27129&d=413365&f=PI,conormc530,518,542,34.95,300
Temur Reclamation,http://www.mtgtop8.com/event?e=27112&d=413239&f=PI,larkblue,500,532,34.95,247
Temur Reclamation,http://www.mtgtop8.com/event?e=27069&d=412741&f=PI,Handou Shinnosuke,498,530,34.95,261
Temur Reclamation,http://www.mtgtop8.com/event?e=27158&d=413688&f=PI,Hakoda Ryo,527,544,34.95,298
Temur Reclamation,http://www.mtgtop8.com/event?e=27241&d=414413&f=PI,oskiyaa,545,568,34.95,271
Temur Reclamation,http://www.mtgtop8.com/event?e=27241&d=414414&f=PI,fingers1991,637,668,59.95,284
Temur Reclamation,http://www.mtgtop8.com/event?e=27226&d=414263&f=PI,Adachi Kazumasa,533,563,34.95,267
Temur Reclamation,http://www.mtgtop8.com/event?e=27226&d=414259&f=PI,Sawada Ken,548,587,34.95,273
Temur Reclamation,http://www.mtgtop8.com/event?e=27044&d=412070&f=PI,ZYURYO,511,505,34.95,236
Jeskai Fires of Invention,http://www.mtgtop8.com/event?e=27378&d=417130&f=PI,BReal2,452,478,34.95,257
Fires of Invention,http://www.mtgtop8.com/event?e=27342&d=416788&f=PI,Hara Kouki,459,494,34.95,243
Fires of Invention,http://www.mtgtop8.com/event?e=27259&d=414598&f=PI,Verduyn,442,499,34.95,256
